"","body.of.a.man.found.at.the.bus.stop.in.the.center.of.Chelyabinsk","sentiment"
"2439","Lenin Avenue flooded because of the rush plumbing plumbing accident chelly",""
"2440","Magnitogorsk fell from the sixth floor handicapped magnitogorsk death",""
"2441","student first pedophile arrested in Chelyabinsk region Russia Medal ck chelly mihailan",""
"2442","resident Ozersk spite frost plunged into the hole hole vchelly Ozersk",""
"2443","Guest Olympiad izgotovilistatuetok of Kasli casting chelly figurines Olympiad",""
"2444","Chebarkul completely restored electricity supply chelly CHebarkul light",""
"2445","lessons at primary school pupils canceled because of frost chelly school classes",""
"2446","uneducated woman will be tried for krazhutysyach veteran Islands chelly theft trial",""
"2447","on the slopes of the Chelyabinsk region duty round the clock mobile unit heating chelly MOE heating",""
"2448","Dubrovsky labor groups should not pay for the mistakes of management chelly Dubrovsky",""
"2449","communal Korkino million pensioners will pay for the death of his son in the pit of death compensation chelly",""
"2450","Chebarkul residents remained without electricity because of a gust of wires chelly CHebarkul light",""
"2451","youth at the bus station shuttle bus ran over pensioner death chelly bus",""
"2452","conscripts maimed in a military unit left in stock chelly sergeypetuhov Service",""
"2453","Jahn Tsapnik interrupted filming on the series because of his father's funeral funeral chelly yantsapnik",""
"2454","Miass rescuers found freezing in a jeep on the navigator men chelly help frost",""
"2455","two of kyshtymtsam foot amputated after frostbite frostbite chelly Kishtim",""
"2456","Dubrovsky instructed to reduce the deficit of the regional budget chelly Dubrovsky budget",""
"2457","Chelyabinsk hijacker lexus attacked because of debt businessman brother chelly hijacker Court",""
"2458","frost because of the demand for taxis at once increased demand taxi chelly",""
"2459","in Chelyabinsk in the head-on collision killed old girl chelly crash death",""
"2460","communal fountain Kishtim melt the frost chelly Kishtim after accident",""
"2461","regional museum varna evacuated because of the projectile grenade chelly evacuation varna",""
"2462","Chelyabinsk region suffered because of frost piste Russian chelly lyzhnyarossii sport",""
"2463","frosts in Chelyabinsk trucks will go less often chelly weather schedule transportation",""
"2464","year old homeless ipodrostkov suspected of beating intoxicated company chelly Kill Kopejsk",""
"2465","per day in the northwest of Chelyabinsk sgorelomashin chelly car fire",""
"2466","chairman of the Regional Committee for Archives Sergei Ivanov became chelly sergeyivanov Dubrovschi",""
"2467","Magnitogorsk taxi flew into a broken bridge on gruzovikpostradali chelly crash Minibuses",""
"2468","Zlatoust mechbogatyr recognized world record chelly record sword",""
"2469","Kopeisk fire in a private home claimed the lives of two people chelly fire death",""
"2470","frosts because of canceled classes in schools Chelyabinsk chelly school EDDS",""
"2471","mined in the October district school with the school director chelly terrorism",""
"2472","redundancies ZMZ predlozhilirabochih locations in metallurgy chelly zlatoust job",""
"2473","Sochi Olympics begin cherezdney chelly Sochi Olympics",""
"2474","chelyabintsev addressed in an ambulance with signs of hypothermia chelly Hospital frost",""
"2475","blacksmiths brought tractor victory over main rival Admiral Admiral chelly tractor RESULTS",""
"2476","Chrysostom classes in schools canceled classes dofevralya chelly zlatoust",""
"2477","metallurgist in an away match left no chance Amur Khabarovsk KHL Metallurg chelly",""
"2478","Magnitogorsk three shot the woman in the car will go on trial chelly magnitogorsk Kill",""
"2479","Savings Bank ATMs are disabled because of an accident in the ATM network chelly sbarbank",""
"2480","published on the eve of the Olympics mascots video joint adventure tractor and metallurgist",""
"2481","Jan Bulis and Konstantin Panov will not play in the match for the tractor with Admiral chelly tractor CHL",""
"2482","year-old man fell into a well with ice water fell well chelly",""
"2483","Chelyabinsk region colder cooling dochelly MOE",""
"2484","DPS inspector rescued from freezing on m Ukrainian family with children chelly salvation family",""
"2485","Admiral vs tractor text translation for readers oblru chelly Admiral tractor online",""
"2486","from the truck in the parking lot ukralikomplektov form employees chop chop chelly stealing form",""
"2487","Argayashsky district resident convicted of a random forest podzhoggektarov chelly forest arson",""
"2488","chelyabinets stole flowers from salonaroz paid taxi theft rose chelly",""
"2489","Drivers are asked not to go on the road because of frost frost chelly motorists",""
"2490","Dubrovsky sent back for revision regional strategy chelly Dubrovsky economy",""
"2491","Moscow court extended the arrest of Victor ardab'evskiy until August chelly viktorardabevsky arrest",""
"2492","emergency warning extended until frost weekend storm chelly prezhuprezhdenie",""
"2493","accident paralyzed traffic in the center of Chelyabinsk got on video chelly accident Chelyabinsk",""
"2494","look online today and Tob oblru onlayntranslyatsiyu Admiral match vs tractor cheer for our",""
"2495","unknown stolen from the ATM in the store boleemilliona rubles chelly ATM theft",""
"2496","orphaned because of package which cordoned off the square of the revolution turned trash chelly bomb cordon",""
"2497","Magnitogorsk pensioner died in a fire chelly fire pensioner",""
"2498","frosts because of canceled classes in schools in both shifts chelly frost classes",""
"2499","Revolution Square area cordoned off because of an orphan package chelly package cordon",""
"2500","Chelyabinsk began transporting truck body heating chelly body perezd",""
"2501","in a sunny valley launched smart system video shutter chelly solnechnayadolina descent",""
"2502","Sochi Olympics begin cherezdney chelly Sochi Olympics",""
"2503","other aviadeboshira Tretyakov sentenced kchasam works for death threat chelly sentence Ale",""
"2504","driver and passenger oki flew through the windshield in an accident chelly crash pensioner",""
"2505","Chelyabinsk region predict a rise in the prices of bread with additives chelly bread price",""
"2506","mascots metallurgist and tractor support team Russia at the Olympics in Sochi chelly metallurgist t",""
"2507","Chelyabinsk retained majoritarian electoral system in the City Duma elections chelly Gordumy",""
"2508","Kyshtym resident videotaped the frozen fountain of hot water fountain chelly accident",""
"2509","under Kyshtym when turning on ford focus issued vstrechkupostradali chelly crash Kishtim",""
"2510","aviadeboshiru Tretyakov faces prison for beating glide flight attendant chelly andreytretyakov",""
"2511","resident formation invented kotolift walking pet cat formation chelly",""
"2512","Chelyabinsk meteorite after Russia and the U.S. will create protection from asteroids chelly meteorite protection",""
"2513","Chelyabinsk opened a hotline to abolish classes in schools chelly EDDS goryachayaliniya",""
"2514","Court concluded custody Lithuanian trucker rammed a passenger car on the track chelly death",""
"2515","gruzchikretsidivist of Kyshtym shoplifting meat and dumplings chelly Kishtim movers",""
"2516","Chelyabinsk ford fire destroyed and damaged three cars chelly car fire",""
"2517","Boris Dubrovsky go to the Olympics in Sochi next weekend chelly Dubrovsky sochi",""
"2518","for Olympic gold Dubrovsky promised prize vmilliona rubles chelly sochi Dubrovsky",""
"2519","old owner nissan qashqai knew his killers murder chelly nissanqashqai",""
"2520","See today online oblru onlayntranslyatsiyu match polar bears vs Tyumen legion more",""
"2521","Satka year-old woman was burned in a private house fire death Satka",""
"2522","in Slavic settlement near Chelyabinsk began conducting tours chelly Gardarika tourism",""
"2523","dismissed metallurgists zemz predlozhatrabochih places chelly zemz work",""
"2524","preparation for the next heating season in the Chelyabinsk region will take place without tape chelly otopl",""
"2525","movement in the center of Chelyabinsk paralyzed because of crashes smashinami chelly crash cork",""
"2526","colleagues about Iurie Tsapnik he was not a man of tragedy theater chelly yuriytsapnik",""
"2527","Magnitogorsk Metallurgical not kept tearing playoff Admiral chelly metallurgist CHL",""
"2528","Boris Dubrovsky starts with federal agencies chelly Dubrovsky moscow",""
"2529","Chelyabinsk delayed transmission of medical institutions to Ministry of Health Ministry of Health health field chelly",""
"2530","because of pensionerakurilschika Magnitogorsk Magnitogorsk evakuirovalichelovek chelly fire",""
"2531","the abolition of classes in schools will report chelly weather evening classes",""
"2532","tractor losing advantage vshayby defeated Cupid Cupid chelly tractor results",""
"2533","stolknoveniimashin in Chelyabinsk died summer avtoledi chelly crash death",""
"2534","Chelyabinsk searching for the killer third year owner nissan qashqai chelly wanted murder",""
"2535","Sergei Davydov appointed vitsegubernatorom volunteer chelly sergeydavydov borisdubrovs",""
"2536","Murogov fire tank school in the territory defense ministry owns chelly Murogov fire",""
"2537","ekskapitan tractor aleksej Zavarukhin transferred to the first link chelly alekseyzavaruhin tractor",""
"2538","People's Artist Yuri Tsapnik died after a long illness chelly yuriytsapnik death",""
"2539","Cupid vs tractor text translation for readers oblru chelly tractor amour lyrics",""
"2540","Chelyabinsk residents of the house for more than three years do without hot water chelly water ZHEU",""
"2541","Magnitogorsk fire in the tram depot fire povredilvagona chelly tram magnitogorsk",""
"2542","Chelyabinsk woman snatched the bag of a young man chelly robbery arrest",""
"2543","because of frost in the Chelyabinsk region predict the probability of disaster chelly frost forecast",""
"2544","at the request of doctors saved mothers dairy kitchen in Chelyabinsk chelly kitchen milk",""
"2545","Chelyabinsk two hijackers cut into pieces old guy for nissan qashqai chelly hijacking ubi",""
"2546","look online today and Tob oblru onlayntranslyatsiyu match cupid vs tractor cheer on our",""
"2547","cgorelo night in Chelyabinsk tank school in a former fire chelly School",""
"2548","Miass Stop burned trolley trolley fire chelly",""
"2549","reservoirs on the South Urals organizovanotochek exit onto ice ice fishing chelly",""
"2550","social activists released a video purchase of prohibited substances in a pharmacy pharmacy substance chelly",""
"2551","two unidentified men beat a young taxi driver and stole his tune chelly fight theft",""
"2552","See today online oblru onlayntranslyatsiyu match chelmet vs Kuban cheer for our online",""
"2553","perfect flower",""
"2554","Chelyabinsk Airport will open direct flights to Ufa flights a week chelly ufa",""
"2555","insurance companies because of shortages of forms refuse to sell policies CTP CTP policy chelly",""
"2556","storozhpensioner died in a fire in the official trailer chelly watchman poisoning",""
"2557","metallurgist at the last minute lost Siberia chelly",""
"2558","tractor in the shootout took over metallurgist chelly tractor CHL",""
"2559","Chelyabinsk clashed three avtomobileyvoditel died chelly crash accident",""
"2560","working visits by city began with Boris Dubrovsky Dubrovsky chelly Chelyabinsk Governor",""
"2561","works of life otna",""
"2562","Metallurg Novokuznetsk vs tractor text translation for readers oblru chelly CHL tractor",""
"2563","come to Chelyabinsk Theatre Shakespeare's Globe touring Shakespeare chelly",""
"2564","Accidents weeks otna",""
"2565","sports nedelyavypusk otna",""
"2566","Chelyabinsk ekstremal going hiking in the Dyatlov Pass chelly perevaldyatlova journey",""
"2567","old Chelyabinsk",""
"2568","in the Chelyabinsk region is expected to increase in petrol prices fuel gasoline chelly",""
"2569","perished in the fire of old pensioner Troitsk Troitsk chelly fire",""
"2570","shoplifter for the remark cut resident Kopeysk chelly theft thief",""
"2571","look online today and Tob oblru onlayntranslyatsiyu match Metallurg Novokuznetsk vs tractor cheer",""
"2572","Chelyabinsk first frost because of canceled classes in schools in both shifts chelly school weather",""
"2573","Dubrovsky responsibilities among vitsegubernatorami chelly Dubrovsky Governor",""
"2574","nhokkna",""
"2575","before the Olympics in Sochi left vsegodney chelly blog Sochi",""
"2576","cyprus extradite accused of defrauding yuzhnouraltsev namillionov chelly extradition deception",""
"2577","Parents seek compensation from the military for crippled son chelly inductee compensation",""
"2578","Boris Dubrovsky congratulated the students on Tatiana's Day chelly Dubrovsky tatyaninden",""
"2579","Alexandr Kozlov returned to head the Ministry of Information Technologies and Communication of Alex chelly",""
"2580","Dubrovsky promised to come to Sochi to support the South Urals Olympians chelly Dubrovsky Sochi",""
"2581","See today online oblru onlayntranslyatsiyu match polar bears vs mammoths yugra cheer",""
"2582","special automobile extinguished the burning kiosk products in Chelyabinsk chelly fire kiosk",""
"2583","burnt tea girl died of shock shock chelly obzhog",""
"2584","Dubrovsky person who does not respect the elderly and children have no place in politics chelly borisdubrovski",""
"2585","Drivers fined for schools because of children chelly fine parents",""
"2586","State Duma deputy shocked pillaging automotive school chelly chvai School",""
"2587","in the northwest of Chelyabinsk changed traffic at the busy intersection traffic sign chelly",""
"2588","ivan Senichev appointed head of the administration of Governor of the Chelyabinsk region chelly ivanseniche",""
"2589","Friday",""
"2590","the new head of administration selected Miassa Stanislav Tretyakov chelly stanislavtretyakov Miass",""
"2591","Chelyabinsk weather",""
"2592","Chelyabinsk airport nachasov plane detained in Dushanbe chelly plane detention",""
"2593","resident district Argayashsky zaplatittysyachi rubles for insulting sms deputy chelly sms wasps",""
"2594","Yuzhnouralsk home again is connected to the heat after the accident chelly heat Uzhnouralsk",""
"2595","because of frost don Roads area introduced clock duty chelly frost MOE",""
"2596","yuzhnouraltsev into the final composition of the Russian Olympic team chelly composition olimpiyskayas",""
"2597","thief on the grave fences Chebarkul brought the case of bribery bribe chelly thief",""
"2598","what to buy Cereals",""
"2599","MMK vyigryvayashayby almost missed the victory over teammates chelly metallurgist magneto",""
"2600","tractor suffered their second consecutive defeat in the match with a total of Siberia Siberia chelly tractor",""
"2601","fee obschedomovoy electricity consumption in the Chelyabinsk region will become mandatory chelly counter",""
"2602","Dubrovsky intends to solve the problem with places in the manger for - year chelly detskiysad Dubrovsky",""
"2603","gibdd check in area schools cars with children chelly gibdd seat",""
"2604","truck products overturned on a slippery road truck crash in Zlatoust Zlatoust",""
"2605","Dubrovsky instructed the heads of municipalities to communicate with people chelly Dubrovsky Governor",""
"2606","the largest family of squirrel monkeys in the zoo settled Chelyabinsk chelly zoo squirrel monkeys",""
"2607","policeman Satka poluchilgoda prison for arms trafficking chelly Satka weapons",""
"2608","son owe beat bailiffs izzamilliona rubles chelly bailiff fight",""
"2609","appointed captain of the tractor forward Jan Bulis chelly yanbulis tractor",""
"2610","owner of the Caspian coast suspects arson arson chelly kaspiyskiybereg",""
"2611","police reported crime data Dubrovsky in the Chelyabinsk region chelly Dubrovsky n",""
"2612","Court began to consider a lawsuit ardab'evskiy reinstatement chelly ardab'evskiy Court",""
"2613","Bear from the restaurant Caspian coast suffered from the heat in the fire chelly kaspiyskiybereg bear",""
"2614","Sibir vs tractor text translation for readers oblru chelly text Broadcast",""
"2615","in the formation year-old girl died from burns tea chelly girl burns",""
"2616","require to make a case of Chelyabinsk for beating offender son in kindergarten kindergarten beating chelly",""
"2617","Egor Kovalchuk led the Ministry of Ecology of the Chelyabinsk region chelly egorkovalchuk post",""
"2618","look online today and Tob oblru onlayntranslyatsiyu match Sibir vs tractor cheer for our",""
"2619","man shot himself in the parking lot of a businessman dalilet prison chelly prison murder",""
"2620","Chelyabinsk flew British plastic surgeon who treated victims of the tragedy at ashoy chelly surgeon",""
"2621","Fired in Chelyabinsk popular cafe Caspian shore chelly fire hornets",""
"2622","good morning",""
"2623","on a suburban road under the wheels of the twelfth year-old man died chelly pedestrian crashes",""
"2624","Olympiad for izgotovyatmedaley with fragments of a meteorite meteorite chelly medals",""
"2625","MPs asked to assign BPC title Chelyabinsk city labor glory chelly Chelyabinsk title",""
"2626","reindeer lost in Chelyabinsk bitten by stray dogs chelly deer death",""
"2627","blacksmiths striker month after injury in the back of the tractor chelly smiths the return",""
"2628","airline demands to punish the batterer because of that extra plane sat in Chelyabinsk chelly Deb",""
"2629","Electrobus the village Churilovo zapustyatfevralya chelly Churilovo trolley",""
"2630","woman died slipping on the road under the wheels of a truck chelly death truck",""
"2631","Chelyabinsk can send their names into space on the unit nasa chelly nasa space",""
"2632","old fan Magnitogorsk zatysyach rubles bought stick Biryukova chelly Biryukov stick auc",""
"2633","ambulance patient suffered in a collision with toyota land cruiser chelly skorayapomosch accident",""
"2634","vitsegubernator eugeny Teftelev no plans to move from Magnitogorsk chelly evgeniyteftelev n",""
"2635","Dubrovsky dismissed from zemz should not be left alone with their problems chelly zemz boris",""
"2636","priors and dozens of drivers killed in head-on collision on Highway chelly death crash SHALL",""
"2637","Russia will give a unified mandate Bobrakova freed within a week chelly er Bobrakov",""
"2638","Six in Chelyabinsk at the traffic lights old girl was hit by chelly traffic crashes",""
"2639","for the completion of the Chelyabinsk Metro subway trebuetsyamilliardov rubles chelly build",""
"2640","look online today and Tob oblru onlayntranslyatsiyu chelmet match vs dynamo cheer for our",""
"2641","CPS recommends yuzhnouraltsev avoid crowded places chelly flu diseases",""
"2642","kopeychanina arrested for mining bus station and police department chelly Kopejsk bomb",""
"2643","Korkino covered club marijuana dealer skilogrammami Korkino drugs marijuana",""
"2644","Kopeisk under the weight of snow roof collapsed at a gas station gas station roof Kopejsk",""
"2645","Chelyabinsk grozitgoda prison for air tours over the city chelly glider Court",""
"2646","pupil tractor warriors silver medals Olympiad does not suit me chelly sochi wars",""
"2647","old Chelyabinsk",""
"2648","Boris Dubrovsky arrived ZMZ chelly Dubrovsky ZMZ",""
"2649","South Urals plunged into a hole in the ice chapel only chelly chapel baptism",""
"2650","alexei Bobrakov appointed Minister of Industry Chelyabinsk region chelly alekseybobrakov mini",""
"2651","State Duma Deputy Alexei Bobrakov prematurely resigned chelly alekseybobrakov government",""
"2652","Prosecutor General's Office demanded to understand the reality kopeychaninalet Is Dead chelly oshi",""
"2653","mental hospital patient undermined its own hospital chelly Miass bomb",""
"2654","Saint Alexander Nevsky decorated lights modeled in d chelly temple lights",""
"2655","Commission supported yuzhnouraltsev two petitions for clemency pardon commission chelly",""
"2656","Dubrovsky congratulated mothers babies born in the Jubilee field chelly borisdubrovsky maternity",""
"2657","plays the first regional arts festival tickets for Russian combat con chelly",""
"2658","artobektov decorate Chelyabinsk during the year chelly decoration Chelyabinsk",""
"2659","laden timber paralyzed traffic in the center of the truck stuck ustkatava chelly",""
"2660","Name Jurevicha accidentally fell into a Hollywood blockbuster Jack Ryan chaos theory chelly Jurevich fil",""
"2661","ZMZ employ laid-off employees at the motor company chelly ZMZ job placements",""
"2662","Dubrovsky reported to the Russian government on preparedness Chelyabinsk region for the Olympics chelly dubrovs",""
"2663","Chelyabinsk caught raiders robbed a company in medical masks chelly robbery mask",""
"2664","Boris Dubrovsky discussed the operational situation in the region with the security forces chelly borisdubrovsky Board",""
"2665","leaders of political parties expressed support for the Chelyabinsk region Dubrovsky chelly party support",""
"2666","Chelyabinsk region detected cooperative encashment matkapitala chelly materinskiykapital",""
"2667","in the area because of fire Nagaybak evakuirovalizhiltsov apartment building fire evacuation chelly",""
"2668","experts tandem dubrovskiykomyakov should be very effective chelly Komyakov Dubrovsky",""
"2669","cop injured in crash with cadillac passes medical examination in Chelyabinsk chelly cadillac d",""
"2670","motorist who died in a collision on m with trucks got the right month ago chelly crash",""
"2671","Sergey Komyakov retained the presidency of the Government of the Chelyabinsk region chelly Komyakov rulers",""
"2672","Magnitogorsk captain named the best forward of the week in the CHL CHL chelly Mozyakin",""
"2673","classes are held in Chelyabinsk schools normally temperature scale cancel lessons chelly n",""
"2674","Dubrovsky instructed to transmit the list of abbreviations at ZMZ employment service chelly reduction zlatoust",""
"2675","Yuzhnouralsk old man police arrested sgrammami heroin chelly drugs yuzhnoural",""
"2676","Highway m cadillac escalade hit a police car accident Cadillac chelly",""
"2677","Ombudsman seeks compensation zhenschinekonduktoru fallen in the bus chelly compensation",""
"2678","Sergei Davydov of parkland violated deadlines apartment house chelly sergeydavydov park",""
"2679","mutilated bride groom poluchilgoda prison chelly quarrel wedding",""
"2680","vitsegubernator eugeny will Redin social sphere chelly evgeniyredin duties",""
"2681","Administration of the Chelyabinsk blames the delay update stops entrepreneurs chelly contracts busi",""
"2682","Boris Dubrovsky take time to form his own position chelly borisdubrovsky",""
"2683","old guy on audi q crashed into four mitsubishi suffered chelly accident audi mitsubish",""
"2684","ekssotrudnik prosecutor pleaded guilty to accepting bribes for protection racket gambling chelly andr",""
"2685","Anastasia Dashko reduced term of imprisonment and a fine chelly anastasiyadashko sentence",""
"2686","Boris Dubrovsky presented the results of checks on ZMZ chelly borisdubrovsky ZMZ",""
"2687","old boy in Satka district could die of encephalitis encephalitis boy chelly",""
"2688","Sergei Davydov requested urgently to clear sidewalks of snow chelly sergeydavydov snow",""
"2689","Magnitogorsk in the car shot dead a local businessman chelly killing businessman",""
"2690","at Breda in frontal crash KrAZ pensioner died chelly KrAZ accident",""
"2691","in southern areas declared a storm warning because of snowfall and blizzards chelly storm warning",""
"2692","Evgeny Redin appointed vitsegubernatora Chelyabinsk region chelly evgeniyredin appointment",""
"2693","old Chelyabinsk",""
"2694","Boris Dubrovsky said about the situation in the Chelyabinsk region and plans chelly borisdubrovsky",""
"2695","aviadeboshir because of which in Chelyabinsk urgently villages plane released on bail chell",""
"2696","under Chebarkul narkomanpodzhigatel beat cop chelly addict arsonist",""
"2697","tractor forward Yevgeny Kuznetsov this season for me in the CHL last chelly evgeniykuznetso",""
"2698","Chelyabinsk trolley cbil two pedestrians chelly trolley accident",""
"2699","family forcibly relocated from the emergency hut in a comfortable flat chelly CHebarkul lane",""
"2700","chelmet was defeated in a match of the Russian classics outdoor chelly russkayaklassika Th",""
"2701","masked robbers with a knife and robbed the store natysyach rubles chelly robbery Korkino",""
"2702","See today tenth award ceremony light past the site oblru chelly light",""
"2703","prnedna",""
"2704","our hokkeyvypusk otna",""
"2705","Plato's doubles and metallurgist Mozyakina brought victory over Salavat Yulaev chelly metallurgist ho",""
"2706","DPS crew opened fire on the six with a drunk driver chelly shooting DPS",""
"2707","aviadeboshir because of which in Chelyabinsk urgently villages plane was sober chelly airport brawl",""
"2708","pensioner died in the fire because of a short circuit fire heater chelly Kishtim",""
"2709","look online today and Tob oblru onlayntranslyatsiyu Hockey Russian classics cheer for our",""
"2710","tractor second time this season yielded Neftekhimik chelly traktork Petrochemist account",""
"2711","sports nedelyavypusk otna",""
"2712","works of life otna",""
"2713","in the Chelyabinsk region baptism organizovanokupeli list of places chelly baptism places",""
"2714","m track partially offset because of the large crash crash chelly m",""
"2715","tractor vs Petrochemist text translation for readers oblru chelly tractor he Petrochemist",""
"2716","on aviadeboshira because of which in Chelyabinsk urgently villages plane brought a criminal case chelly avi",""
"2717","in Satka district rabies old child died chelly rabies death",""
"2718","look online today and Tob oblru onlayntranslyatsiyu match vs tractor Petrochemist cheer for Mr.",""
"2719","pursuit guard for nanny who stole products using wheelchairs got on video chelly nanny vorovst",""
"2720","Heroes Award bright past come out on the red carpet and give autographs chelly heroes track",""
"2721","the coaching staff did not include tractor Panov part of the match with Neftekhimik chelly pans tractor",""
"2722","Magnitogorsk the trial of the escort have forgotten row inmate escorts chelly Court",""
"2723","in the pool water SUSU sanctify Eve baptism chelly water baptism",""
"2724","to Russian hockey classics released set of warm clothes for the fans chelly tractor russ",""
"2725","aviadeboshir because of which in Chelyabinsk urgently villages plane delivered to the police department chelly avi",""
"2726","Chelyabinsk airport because of aviadeboshira urgently villages plane from St. Petersburg chelly brawl itself",""
"2727","layered coffee drink coffee machine kapuchinobez",""
"2728","Zlatoust shot crime boss chelly zlatoust Kill",""
"2729","Jurevich can not participate in the election for governor of the Chelyabinsk region chelly elections mihailyurev",""
"2730","fatal crash occurred on the highway because of skidding m frets chelly crash m",""
"2731","Chelyabinsk baptism launch Yule bus chelly baptism bus",""
"2732","Boris Dubrovsky assured that the tractor will be all right chelly borisdubrovsky tractor",""
"2733","teacher of Kizilskoe district died in the classroom before the lesson teacher died chelly",""
"2734","the post of Acting CEO appointed Paul MMK MMK Shilyaev chelly appointment",""
"2735","Boris Dubrovsky approved the first destination in the government and administration of the governor appointed chelly",""
"2736","Vladimir Putin congratulated the Chelyabinsk region with birthday greetings chelly vladimirputin",""
"2737","Chelyabinsk region extended storm warning because of snow storm warning chelly",""
"2738","Boris Dubrovsky said head coach of HC tractor for his services to the Chelyabinsk region chelly",""
"2739","Chelyabinsk mistakenly recorded a new record chelly ivanuhov Russian champion",""
"2740","a landfill in Magnitogorsk found dead men chelly dump magnitogorsk",""
"2741","m track is blocked because of a deadly crash with a car chelly death track",""
"2742","promulgated signs robbers stole inkassatorovmilliona rubles chelly collection mill",""
"2743","konkursprizrub",""
"2744","thieves thieves have inkassatorovmilliona rubles chelly collection magnitogorsk",""
"2745","driver left dying knocked down during the chase Woman chelly crash death",""
"2746","Boris Dubrovsky congratulated yuzhnouraltsev anniversary with Chelyabinsk region chelly region anniversary",""
"2747","Chelyabinsk searching for robbers who attacked the collectors collection chelly attack",""
"2748","nurse from Chelyabinsk tried to steal products using buggy chelly theft nanny",""
"2749","in the upper Ufalei girl hit by a car on the way to school chelly verhniyufaley crash",""
"2750","in Kasli area minibus collided with a parked gruzovikpogibli chelly death crash",""
"2751","metallurgist returned leadership in the Eastern Conference by beating Metallurg Magnitogorsk Petrochemist n",""
"2752","tractor for one period saved home match against Salavat Yulaev chelly hockey tractor salavatyul",""
"2753","doh Korkino new mother died of bleeding in a short time a woman in labor chelly doh",""
"2754","members of the government and vitsegubernatory resigned after the ordinance area chelly resignations",""
"2755","police refused to open a criminal case against the supermarket ohrannikasambista chelly ocher",""
"2756","Alfabank perevodtrillionov denied on account of Chelyabinsk chelly Alfabank timurfatkullin",""
"2757","Rescuers removed from the wall of the second floor high-rise rescue chelovekapauka chelly",""
"2758","police found missing in the area Chesmen herd izloshadey chelly missing horse",""
"2759","chelyabinets admitted intention to expose popova by bribery chelly yuriypolischuk bribe",""
"2760","Volunteers save lamb thrown residents of the village rose chelly lamb help",""
"2761","tractor vs Salavat Yulaev text translation for readers oblru chelly Broadcast tractor",""
"2762","Chelyabinsk region declared a storm warning chelly snow road",""
"2763","Michael Garnett recovered from his injury before NADH chelly mayklgarnett injury",""
"2764","BPC will appoint the election date of Chelyabinsk Region Governor at the next session chelly",""
"2765","Jurevich of resignation overdue political changes chelly Chelyabinsk Jurevich",""
"2766","in the governor's administration and the government does not plan resignations chelly the Chelyabinsk",""
"2767","the prosecutor's office will check on reports in the media about slavery in the Chelyabinsk region chelly slavery ma",""
"2768","yuzhnouraltsev will be re-tried for the murder of a friend chelly Kill Kopejsk",""
"2769","Zlatoust preparing to visit UQ Chelyabinsk Region Governor chelly zlatoust ZMZ",""
"2770","embassy in UFD commented appointment ions Chelyabinsk Region Governor chelly governors",""
"2771","metallurgist players left in the playoffs CHL CHL chelly metallurgist",""
"2772","Relatives of the victims under ashoy families find the cause of the accident m snow cover chelly death asa",""
"2773","Miassa resident committed suicide by cutting his throat chelly suicide Miass",""
"2774","See today online oblru and tractor holes onlayntranslyatsiyu match vs Salavat Yulaev cheer s",""
"2775","in the area of ​​police Chesmen razyskivayutloshadi chelly horse theft",""
"2776","to ascertain the identity of the area Kunashaksky pedestrian run over by the wheels on the track chelly crash accident",""
"2777","police finds reason for suicide old boy chelly death suicide",""
"2778","Mikhail Yurevich commented on the resignation of his resignation chelly comment mihailyurevich",""
"2779","Vladimir Putin instructed the governor uo pay attention to industry chelly industry b",""
"2780","Mikhail Yurevich resigned voluntarily resignation chelly mihailyurevich",""
"2781","at City Hall Kopeysk not confirmed registration of the child in the car park chelly residence child parking",""
"2782","administration Jurevicha denied rumors of his resignation chelly mihailyurevich resignation",""
"2783","chelyabinets could potratittrillionov rubles by bank chelly timurfatkullin Money Bank",""
"2784","school evacuated because of detection Kopejsk boesnaryada chelly evacuation School boesnaryad",""
"2785","two vase arranged head-on collision in the area have died Kasli chelly accident collision",""
"2786","intersection in Chelyabinsk not shared focus and hyundai have affected chelly accident crash kurchatov",""
"2787","ohrannikusambistu face up in a broken nose buyer chelly fight supermaket",""
"2788","Chelyabinsk searching for the driver brought down old boy on a zebra chelly search crashes",""
"2789","Mikhail Yurevich changed the name of the Ministry of Environment chelly minreb title",""
"2790","uralhimzaschity employees complained to the prosecutor pouring sulfuric acid chelly sernayakislota",""
"2791","Burned company on fire in Peredovik celebrated his son's birthday home owner chelly death",""
"2792","world champions in boxing and kickboxing presented children with cancer show tickets for Russia it chelly",""
"2793","Chelyabinsk residents accidentally became the richest man in the world chelly money bill",""
"2794","Chelyabinsk because of fire in high-rise building fire evacuation evakuirovalichelovek chelly",""
"2795","baptism in Chelyabinsk opredelenymesta for fonts chelly baptism font",""
"2796","Alexander Goncharov took fourth place in the ranking of Russia biznesombudsmenov chelly rating business",""
"2797","on behalf of Mikhail Yurevich in the Chelyabinsk region simplify connection to the power grid chelly Jurevich",""
"2798","Mikhail Yurevich sat in a chair the first head of the Chelyabinsk region chelly mihailyurevich chelyabinskayaoblast",""
"2799","Uiskoe area in two guys patrol car tires punctured chelly police hooliganism",""
"2800","frets driver killed in head-on collision on the road with volkswagen chelly track death",""
"2801","first regional tour",""
"2802"," organized the first anniversary konkursaviktoriny to Chelyabinsk region chelly spe",""
"2803","pensioner in Chelyabinsk suffocated by exhaust fumes in the car gas chelly death",""
